# Ariba kategori kataloğu — İKİ dışa aktarımdan ÜRETİLDİ, elle düzenlenmez.
#   tam (firma kategori seçimi) : ariba-tum-kategoriler-hiyerarsik.csv
#   discovery (talep/ilan)      : ariba-discovery-tum-kategoriler-hiyerarsik.csv
# Üretici: prisma/scripts/import-ariba-csv.ts · ADLAR BİREBİR.
# Biçim: <kod8> ⇥ <seviye> ⇥ <üstKod8> ⇥ <segmentHarfi> ⇥ <ad> ⇥ <inDiscovery 1|0> ⇥ <altAdlar |-ayrık>
# 158018 kategori — L1:58 L2:558 L3:7966 L4:149436
# Discovery alt kümesi: 158005 — L1:58 L2:558 L3:7966 L4:149423
10102104	4	10102100		Pheasant hatching eggs	1	
10102105	4	10102100		Ostrich hatching eggs	1	
10102106	4	10102100		Guinea fowl hatching eggs	1	
10102107	4	10102100		Duck hatching eggs	1	
10110000	2	10000000		Pet ürünleri	1	
10111300	3	10110000		Pet tedavileri ve aksesuarları ve gereçleri	1	
10111301	4	10111300		Pet oyuncakları	1	
10111302	4	10111300		Pet tımar ürünleri	1	
10111303	4	10111300		Pet kumu veya talaşı veya pet atık yönetimi için gereçler	1	
10111304	4	10111300		Pet yemek çanakları veya gereçleri	1	
10111305	4	10111300		İlaçlı pet tedavileri	1	
10111306	4	10111300		Pet eğitim kitleri	1	
10111307	4	10111300		Pet örtüleri	1	
10111308	4	10111300		Bird bath	1	
10120000	2	10000000		Hayvan yemi	1	
10121500	3	10120000		Çiftlik hayvanı yemi	1	
10121501	4	10121500		Saf buğday kepeği	1	
10121502	4	10121500		Yemlik yulaf	1	
10121503	4	10121500		Yemlik mısır	1	
10121504	4	10121500		Yemlik sorgum	1	
10121505	4	10121500		Saman	1	
10121506	4	10121500		Küspe	1	
10121507	4	10121500		Compound feed	1	
10121508	4	10121500		Feed alfalfa or lucerne meal or pellets	1	
10121509	4	10121500		Livestock salt	1	
10121600	3	10120000		Kuş ve kümes hayvanları yemi	1	
10121601	4	10121600		Kuşlar için canlı yem	1	
10121602	4	10121600		Kuş yemi	1	
10121603	4	10121600		Kuş ikramları veya mezeleri	1	
10121604	4	10121600		Tavuk yemi	1	
10121700	3	10120000		Balık yemi	1	
10121701	4	10121700		Taze veya dondurulmuş salamura	1	
10121702	4	10121700		Balık yemi peletleri	1	
10121703	4	10121700		Balık yemi gevrekleri	1	
10121800	3	10120000		Kedi ve köpek yemi	1	
10121801	4	10121800		Köpekler için kuru yem	1	
10121802	4	10121800		Köpekler için yaş yem	1	
10121803	4	10121800		Köpek veya kediler için süt	1	
10121804	4	10121800		Kediler için kuru yem	1	
10121805	4	10121800		Kediler için yaş yem	1	
10121806	4	10121800		Köpek veya kediler için ikramlar veya mezeler	1	
10121900	3	10120000		Kemirgen yemi	1	
10121901	4	10121900		Kemirgenler için pelet yem	1	
10122000	3	10120000		Sürüngen yemi	1	
10122001	4	10122000		Sürüngenler için pelet yem	1	
10122002	4	10122000		Sürüngenler için yaş yem	1	
10122003	4	10122000		Sürüngenler için canlı yem	1	
10122100	3	10120000		Muhtelif hayvan yemi	1	
10122101	4	10122100		Domuz yemi	1	
10122102	4	10122100		Vizon yemi	1	
10122103	4	10122100		Maymun yemi	1	
10122104	4	10122100		Rabbit food	1	
10130000	2	10000000		Hayvan kafesleri ve habitatları	1	
10131500	3	10130000		Hayvan barınakları	1	
10131506	4	10131500		Çiftlik hayvanı ahırları	1	
10131507	4	10131500		Evcil pet yuvaları	1	
10131508	4	10131500		Pet yatakları	1	
10131600	3	10130000		Hayvan kafesi	1	
10131601	4	10131600		Kafesler veya aksesuarları	1	
10131602	4	10131600		Köpek kulübeleri	1	
10131603	4	10131600		Hayvan taşıma kutuları	1	
10131604	4	10131600		Köpek kafesleri	1	
10131605	4	10131600		Animal transport cage	1	
10131606	4	10131600		Animal catching device	1	
10131607	4	10131600		Animal tranquilizing dart	1	
10131608	4	10131600		Animal tranquilizing dart accessories	1	
10131700	3	10130000		Hayvan habitatları	1	
10131701	4	10131700		Teraryumlar	1	
10131702	4	10131700		Akvaryumlar	1	
10140000	2	10000000		Koşum takımı ve koşum gereçleri	1	
10141500	3	10140000		Koşum takımı	1	
10141501	4	10141500		Eyerler	1	
10141502	4	10141500		Kamçılar	1	
10141503	4	10141500		At nalları	1	
10141504	4	10141500		Katır nalları	1	
10141505	4	10141500		Saddle pad	1	
10141600	3	10140000		Koşum gereçleri	1	
10141601	4	10141600		Yularlar	1	
10141602	4	10141600		Boyunduruklar	1	
10141603	4	10141600		At gemleri	1	
10141604	4	10141600		Dizginler	1	
10141605	4	10141600		Üzengiler	1	
10141606	4	10141600		Tasma kayışları veya bağları	1	
10141607	4	10141600		Tasmalar	1	
10141608	4	10141600		Koşumlar veya aksesuarları	1	
10141609	4	10141600		Kısıtlayıcılar	1	
10141610	4	10141600		Ağızlıklar	1	
10141611	4	10141600		Tasma tutucular	1	
10141612	4	10141600		Dog catching pole	1	
10150000	2	10000000		Tohumlar ve soğanlar ve fideler ve çelikler	1	
10151500	3	10150000		Sebze tohumları ve fideleri	1	
10151503	4	10151500		Kereviz tohumları veya fideleri	1	
10151504	4	10151500		Biber tohumları veya fideleri	1	
10151505	4	10151500		Kabak tohumları veya fideleri	1	
10151506	4	10151500		Bezelye tohumları veya fideleri	1	
10151507	4	10151500		Salatalık tohumları veya fideleri	1	
10151508	4	10151500		Patlıcan tohumları veya fideleri	1	
10151509	4	10151500		Acı marul tohumları veya fideleri	1	
10151510	4	10151500		Sarımsak tohumları veya fideleri	1	
10151511	4	10151500		Pırasa tohumları veya fideleri	1	
10151512	4	10151500		Marul tohumları veya fideleri	1	
10151513	4	10151500		Mısır tohumları veya fideleri	1	
10151514	4	10151500		Kavun tohumları veya fideleri	1	
10151515	4	10151500		Soğan tohumları veya fideleri	1	
10151517	4	10151500		Ispanak tohumları veya fideleri	1	
10151518	4	10151500		Domates tohumları veya fideleri	1	
10151520	4	10151500		Pazı tohumları veya fideleri	1	
